label,text
6,"Former national security adviser Michael Flynn's security clearance has been suspended ""pending review,"" a Defense Intelligence Agency spokesman told CNN Wednesday."
6,"The Defense Department might propose that the US send conventional ground combat forces into northern Syria for the first time to speed up the fight against ISIS, CNN has learned."
6,"Earmarks, the simultaneously hated and beloved DC tool that lets lawmakers direct money to specific programs and projects, may be coming back."
6,"The number of hate groups in America spiked in 2016, according to the Southern Poverty Law Center."
6,"CNN's Jake Tapper discusses how President Donald Trump handled the resignation of National Security Adviser Michael Flynn, and how Trump's comments claiming the media was creating ""conspiracy theories"" were false."
6,"There is some poetic justice in seeing the man who was made President because of leaks potentially hobbled by ones that may legitimately reveal wrongdoing, writes Paul Begala."
6,"In the end, Andrew Puzder had too much baggage -- both personal and professional -- to be confirmed as President Donald Trump's Cabinet."
6,"As the fallout from Michael Flynn's resignation continues, former national security adviser to Hillary Clinton, Jake Sullivan, says no one from the Clinton campaign ever reached out to Russia during the 2016 presidential campaign."
6,Two top House Republicans asked the Inspector General on Wednesday to investigate leaks surrounding the ouster of former national security adviser Michael Flynn.
6,"CNN's Jim Acosta, Sara Murray and Joe Johns all received the cold shoulder when they attempted to ask President Donald Trump for comment on reported contacts between his senior advisers and suspected Russian operatives during his campaign."
6,"Washington, DC, restaurants and schools are preparing for a ""Day Without Immigrants"" protest Thursday, but so far, policymakers who live in the nation's capital haven't taken much notice."
6,"The organizers of the Women's March on Washington have set the date for their general strike, dubbed ""A Day Without A Woman,"" for March 8, which is International Women's Day."
7,Workers at Boeing's South Carolina plant go to polls to vote on whether to unionize.
3,"President Donald Trump rejected the long-established US framework for Middle East peacemaking at a White House visit with Israeli Prime Minister Benjamin Netanyahu Wednesday as he announced his desire to reach ""the ultimate deal."""
6,The vacant spot atop the National Security Council is triggering anxiety that the White House is ill-prepared to face a sudden foreign policy crisis amid fresh concern about politics at play in the Situation Room.
6,"Trump's administration remains largely unfilled four weeks into his presidency, with just 34 of nearly 700 key Senate-confirmed positions having a candidate announced"
6,Sen. Ted Cruz (R-TX) says he thinks former US Ambassador to the United Nations John Bolton is a strong candidate for President Trump's national security adviser.
6,"A leading foreign policy expert cautioned Friday that the Trump administration's departure from traditional US foreign policy positions has created ""real doubts"" among allies."
3,"There's a Russian spy ship off the coast of Connecticut. Crammed with eavesdropping equipment, the Viktor Leonov's visit is the latest in a string of provocations."
12,"Heavy rains slammed Southern California on Friday, killing two people, downing power lines and leaving cars submerged on the streets."
3,China moves quickly to grant Trump a trademark he's been seeking for a decade.
3,"A suspect in the death of the North Korean leader's half brother thought she was participating in a television show when she squirted liquid in his face, police said."
1,"Columbia University mistakenly emailed 277 master's program applicants that they were accepted, only to quickly rescind the offer, blaming it on ""human error."""
12,"There is currently less sea ice surrounding the Antarctic continent than at any point since reliable records began in 1979, taking away a key argument from climate change skeptics."
3,"Vice President Mike Pence assures allies that the United States will be ""unwavering"" in its commitment to NATO."
3,"Seeking to assuage European fears about refreshed Washington-Moscow ties, Vice President Mike Pence told leaders here Saturday that the United States would hold Russia accountable for its actions even as it works to locate new areas for cooperation."
3,"CNN's Fareed Zakaria says Sen. John McCain's speech at a security conference was ""directly about Donald Trump."""
3,A suspect in the murder of Kim Jong Nam is accused of spraying him in the face with a potentially lethal substance from a perfume bottle. The woman told police she thought it was a harmless prank. CNN's Brian Todd reports.
6,Plenty of reporters say his White House is in 'chaos.' But there's one big thing going right for him right now: The U.S. economy.
10,"DriveTribe, the content startup aimed at motoring enthusiasts, was launched last year by former Top Gear presenters Jeremy Clarkson, Richard Hammond and James.."
10,"This week, the CRISPR-Cas9 patent case came to a close, an encrypted messaging app went open source and Facebook announced some big changes to its video.."
10,"It probably comes as no surprise: Theranos, the blood testing technology company once worth billions, is struggling to survive. With no revenue, no money set.."
10,Snap is about to embark on its investor roadshow as it prepares to go public at the beginning of March. And a new video gives a glimpse at how they will be..
10,"Tesla actually makes a lot of data available to vehicle owners via APIs and other endpoints, but it's not always easy to find and make use of that info. Enter.."
6,"Sen. John McCain slammed President Donald Trump's attacks on the media this week by noting dictators ""get started by suppressing free press."""
6,"While trust in the media overall is low, audiences do have significant levels of trust in the media outlets Trump is attacking, Frida Ghitis writes"
6,"Secretary of Education Betsy DeVos is receiving protection from the United States Marshals Service, a spokeswoman for the group told CNN Saturday."
3,"Omar Abdel-Rahman, an Egyptian-born cleric serving a life sentence for plotting the 1993 bombing at the World Trade Center and other terror attacks in New York, has died, a prison spokesman said. He was 78."
3,"Norma McCorvey, known as ""Jane Roe,"" the plaintiff in Roe v. Wade, the US Supreme Court case that established a constitutional right to abortion, has died, a priest close to her family said."
3,Some Pentagon officials believe Russia is testing President Donald Trump with aggressive moves across the globe.
10,"There are many toys on the market today that promise to teach kids programming skills, and a good percentage require the use of a connected tablet or.."
6,"After a month of arduous and, at times, turbulent governing, President Donald Trump is ready for what he really loves: Campaigning."
6,Secretary of State Rex Tillerson has reassigned a majority of the staff meant to work most closely with the top US diplomat in what career officials at the State Department fear is the start of a major reorganization.
6,"Norma McCorvey was the focus of the ""Roe v Wade"" case but later called her role ""a mistake""."
6,"Geert Wilders heads polls ahead of the 15 March election, but his lead is narrowing."
2,"The day-old chicks were abandoned in a field, sparking an investigation by the RSPCA."
6,The PM agrees to meet the boss of France's PSA Group to discuss a planned UK takeover of Vauxhall.
6,Protesters accuse the government of reneging on its promise to allow more migrants into Spain.
6,Ray Woodhall said he suffered so many cardiac arrests a nurse apologised for having to beat his chest so much.
9,Lincoln become the first non-league side in 103 years to reach the FA Cup quarter-finals with a dramatic last-minute win over Burnley.
6,The Labour leader opposes Tony's Blair's call for a movement to challenge the Brexit decision.
10,"Microsoft's founder warns a virus, possibly created by terrorists, could have a catastrophic effect."
6,"Omar Abdel Rahman - who was serving a life sentence in the US - dies in prison, his family says."
9,"Non-league side Lincoln achieve a 'football miracle' by reaching the FA Cup quarter-finals, while Millwall knock out Leicester."
9,"Mo Farah takes victory in the 5,000m at the Birmingham Grand Prix to win the final indoor race of his career."
9,Late drama as Shaun Cummings puts 10-man Millwall ahead in the last minute against Leicester City in their FA Cup fifth-round tie.
9,Live text coverage plus BBC Radio 5 live sports extra and Radio Merseyside commentary of Warrington Wolves v Brisbane Broncos.
9,Judd Trump will face Stuart Bingham in the Welsh Open final after the Englishmen enjoy comfortable wins in the last four.
9,"Laura Muir breaks Dame Kelly Holmes' British record to win the women's 1,000m at the Birmingham Indoor Grand Prix."
9,Celtic restore a 27-point advantage at the top of the Scottish Premiership with victory over Motherwell.
9,British number one Johanna Konta withdraws from the Dubai Duty Free Championships with a foot injury.
9,Sean Raggett heads Lincoln City ahead in the 89th minute against Burnley in the FA Cup fifth round at Turf Moor.
6,"Shortly after Vice President Mike Pence pledged to “hold Russia to account” while looking for common ground in a speech to European allies, a hawkish Russian legislator reached out to shake his hand as he passed through a crowded hotel corridor."
14,Treat yourself … or others.
10,"Elon Musk’s Space Exploration Technologies Corp. halted the launch of its second rocket in as many months on Saturday, about 10 seconds before its scheduled liftoff."
6,"President Donald Trump’s revised executive order on immigration will be “more streamlined” than its predecessor, U.S. Homeland Security Secretary John Kelly said, as the administration seeks a way to avoid the ensnaring of lawful U.S. entrants that led to parts of the original edict being blocked by federal courts."
13,Competitors relieved that Kraft Heinz Co. snubbed them for Unilever may want to skip the celebration.
6,"A free and at times adversarial press is essential “if you want to preserve democracy,” Republican Senator John McCain said in response to President Donald Trump’s description of the media as the enemy of the American people."
3,"The U.S. policy of maintaining sanctions and military pressure on North Korea while refusing to talk to the country isn’t working and will only make matters worse, a Chinese official said Saturday, venting Beijing’s impatience with the stalemate over its isolated neighbor."
3,"Microsoft co-founder Bill Gates joined the United Nations to warn world leaders about a new series of threats shaping up as megatrends, led by global warming, superbugs and artificial intelligence."
6,"President Donald Trump’s adult sons, who now manage his sprawling business empire, were guests of honor at the launch of a new luxury golf course in Dubai, the first opening of a Trump-branded property since Inauguration Day."
13,"South Korean police on Saturday led Jay Y. Lee, hands bound with rope, into a special prosecutors office after arresting the de facto head of the country’s largest industrial conglomerate in a corruption probe that includes allegations of bribery."
6,"Foreign Minister Sergei Lavrov pushed back against accusations that Russian hackers meddled in last year’s U.S. presidential election, saying no one had put forward any proof and former President Barack Obama’s administration ignored repeated overtures to discuss cyber-security norms."
3,Study finds that mothers are increasingly staying in part-time jobs instead of returning to full-time work
3,"Poland needs more U.S. forces on its soil to bolster defenses against Russia and welcomes U.S. Vice President Mike Pence’s assurance that the U.S. is committed to the NATO alliance, the country’s defense minister said."
3,"French far-right leader Marine Le Pen denied an allegation by the European Union’s fraud office that she gave her aides fake parliamentary jobs, after she became the second main contender in the nation’s presidential race to become embroiled in a funding controversy."
3,Boris Johnson delivered a Brexit-inspired English lesson to a roomful of diplomats in Germany.
3,Russian Foreign Minister Sergei Lavrov told reporters on Saturday that a ceasefire will go into effect for Eastern Ukraine on Monday.
9,"Watch the best of the goals from Saturday's FA Cup action, including a Rudy Gestede volley for Middlesbrough and a cheeky free-kick from Oxford United's Chris Maguire."
9,Ten-man Millwall secure a stunning upset with a last-minute winner to beat Premier League champions Leicester City and reach the quarter-finals of the FA Cup.
6,"The event, unusual for a sitting president, echoes those held during Mr Trump's successful campaign."
6,The US president invited a supporter on to the stage at his rally in Florida.
9,"Michael Watson, who was left partially disabled after a boxing match, needed hospital treatment."
3,"Kurdish mourners gather at Heathrow Airport to pay tribute to Briton Ryan Lock, who died fighting so-called Islamic State in Syria."
3,Protesters accuse the government of reneging on its promise to allow more refugees into Spain.
9,"Warrington get the first win for an English club over Australian opponents since 2012, beating Brisbane in the World Club Series."
9,"Michael Watson, who was left partially disabled after a boxing match, needed hospital treatment."
9,"Leicester City need ""soldiers and gladiators"" to save their season after their FA Cup exit, says manager Claudio Ranieri."
6,"Melbourne, Fla. (AP) -- Just four weeks into his administration, President Donald Trump appeared at a campaign rally that mirrored the months leading up to Election Day, complete with promises to repeal the health care law, insults for the news media and a playlist highlighted by the Rolling Stones."
13,Here’s how you can profit from its work.
13,It’s an exclusive enclave for China’s aspiring masters of the universe.
6,"President Donald Trump, after a month of arduous and, at times, turbulent governing, got what he came for Saturday during a dusk rally here: Campaign-level adulation."
10,"SpaceX delayed its launch Saturday morning ""out of an abundance of caution."" The private space firm will try again Sunday morning."
14,"Bullish​ is TechCrunch's premiere talk show about tech, startups and diversity. Airing Wednesdays 10 AM ET / 7 AM PT."
6,"President Trump had a supporter in the crowd join him on stage to deliver remarks during his rally in Melbourne, Florida."
6,"Party leader accepts 'share of responsibility' for by-election loss but is ""determined"" to stay on."
6,The US president has traditionally attended and it will still go ahead in Mr Trump's absence.
9,"The American coach of Olympic champion Mo Farah may have broken anti-doping rules to boost the performance of some of his athletes, says a leaked report."
3,"A UK watchdog says so-called Islamic State plans ""indiscriminate attacks on innocent civilians""."
3,"Caroline Wyatt said the ""brain fog began to lift"" after she paid for treatment in Mexico."
3,"Actor David Harewood says Doctor Who ""needs to do something different"" - and he'd be up for it."
15,"Twenty-eight people are injured, some seriously, but police say terrorism is not suspected."
5,Low-budget drama Moonlight warms up for Sunday's Oscars by winning six Independent Spirit Awards.
3,Senior Tory Lord Heseltine says he will rebel against ministers when peers debate the Brexit bill.
3,North Korean leader's half brother was killed by a nerve agent in the airport two weeks ago.
9,Watch BBC One live on BBC iPlayer.
9,WBO world welterweight champion Manny Pacquiao and Great Britain's Amir Khan agree to fight on 23 April.
9,"Watch live BBC Sport coverage of the men's skeleton followed by the four-man bobsleigh at the World Championships in Konigssee, Germany."
9,"Leicester City striker Jamie Vardy says speculation he was involved in Claudio Ranieri's dismissal is ""untrue and extremely hurtful""."
9,"Head coach Vern Cotter lauds Scotland's second-half display against Wales, as they rack up 20 unanswered points to win."
9,Chelsea stretch their lead at the top of the Premier League table to 11 points after victory over Swansea City at Stamford Bridge.
9,"Captain Alun Wyn Jones wanted to kick for goal at a crucial point against Scotland, but says his kickers said ""no""."
9,Gavin McDonnell fails in his bid to join his twin brother Jamie as a world champion with a majority-decision loss to Rey Vargas.
9,Ireland beat France 19-9 in Dublin to keep alive their hopes of winning a third Six Nations Championship in four years.
13,Billionaire investor Warren Buffett devoted a substantial portion of his annual letter to deepen his long-running critique of investment fees.
6,"Policies supported by Republican congressional leaders to repeal and replace Obamacare could lead millions of people to lose their health coverage, according to a presentation given to state governors meeting Saturday in Washington."
6,President Donald Trump asked on Twitter why the media hasn’t reported that the national debt has dropped since his inauguration.
10,"Facebook's approach to Snapchat has been: if you can't buy it, copy it."
6,"President Donald Trump said he won’t attend this year’s White House Correspondents Association Dinner on April 29, following weeks of attacks on news organizations that included calling them “the enemy of the American people.”"
5,This year’s Oscar nominees include seven people of color in the best and supporting acting categories.
13,"With late payments on the rise, a dealership upsell begins to look dangerous."
6,"White House press secretary Sean Spicer excluded several major news outlets, including the New York Times and CNN, from an untelevised media briefing on Friday, hours after President Donald Trump assailed coverage of his administration."
6,"Former Labor Secretary Tom Perez was elected chairman of the Democratic National Committee on Saturday, as the party struggles to set a new direction after Hillary Clinton’s November loss to Donald Trump."
6,"President Donald Trump has announced that he will not attend this year's White House Correspondents' Dinner, a move that comes amid increasingly hostile relations between the media and the White House."
6,The former Obama White House communications director says the Trump administration's combative approach to the press risks following the model of Russia.
6,"At a campaign-style rally in Melbourne, Florida, President Trump started out by attacking the media saying he wanted to speak to the crowd without the filter of the ""fake news."""
6,"A Republican lawmaker who supported Donald Trump in the 2016 presidential election said a special prosecutor should investigate reported communications between the Trump campaign and Russians known to US intelligence, not Attorney General Jeff Sessions."
6,"New national security adviser H.R. McMaster is already setting a strikingly different tone than his ousted predecessor, Michael Flynn, and President Donald Trump, saying the term ""radical Islamic terrorism"" isn't helpful for US goals."
6,"President Donald Trump would like the US to be ""at the top of the pack"" when it comes to having nuclear weapons"
6,President Donald Trump told Reuters that the US should be leading the world in nuclear weapons. The statement left non-proliferation experts puzzled and concerned.
6,"While President Donald Trump was busy ignoring the reality of his low approval ratings by bathing in the embrace of an adoring crowd last weekend, his foreign policy challenges were stacking up."
15,"One man is in custody after a pickup truck rammed a crowd at a New Orleans Mardi Gras parade, police said. At least 21 people were hurt."
6,Democrats chose a new chair to lead their battered party as it tries to channel its base's anti-Donald Trump energy into an electoral rebound.
10,"I’ll be honest, hearing about what Raybaby does made me happy I don’t have kids. The mere thought of needing a device to monitor a child’s breathing.."
10,Uber employees have flocked to an anonymous workplace app called Blind as a sort of catharsis since ex-Uber engineer Susan Fowler Rigetti posted about being..
10,"Tesla CEO Elon Musk has shared the results of his own investigation into factory working conditions at the carmaker, following accusations by employee and.."
10,"Tech news was heavy this week. Uber is facing a sexual harassment claim as well as a lawsuit from Google, NASA discovered planets with what could prove to be.."
10,"If you’ve read the latest headlines about Britain’s tech industry, you’d think the country hadn’t been rocked by the greatest political and economic.."
6,"Leader says the party must ""remain united"" following its by-election loss to the Conservatives."
5,"Actor Bill Paxton, known for roles in Aliens and Titanic, has died aged 61, his family tell US media"
3,"More than 3,500 attacks were carried out on migrants and asylum shelters in Germany last year."
15,"Five-year-old Ellie-May Clark, who was minutes late for an appointment, died of an asthma attack."
10,An iconic Nokia phone is revamped with added battery life and new features alongside several Nokia-branded Android models.
9,England overcome a stern challenge from Italy to remain unbeaten in this year's Six Nations and stretch their winning run to 17 matches.
6,A key Theresa May aide is being criticised over his comments defending changes to the PIPs system.
7,"The former home of the original Ernie machine, which generated winning Premium Bond numbers, is demolished."
15,One man is critical and four others injured after a Mercedes crashes into them in south-east London.
9,Listen to BBC Radio 5 live commentary and follow updates of the EFL Cup final at Wembley.
9,Harry Kane scores his third hat-trick in nine games as Tottenham react to their European exit by hammering Stoke to go second in the league.
9,"Follow live text commentary, match action and the best from social media on day three of the 2017 FA People’s Cup first round."
9,Watch BBC Two live on BBC iPlayer.
9,Red Bull unveils the car many expect to be the closest challenger to world champions Mercedes in 2017 - the RB13
9,A woman who died in a crash in Neath Port Talbot is named as Wales rugby international Elli Norkett.
9,Lionel Messi scores a late winner as Barcelona beat Atletico Madrid to move top of La Liga.
6,There's a lot of confusion to clear up when the president addresses Congress Tuesday night.
10,"Google is bringing its voice assistant to the latest Android phones, starting with a closer partnership with LG Electronics."
13,"Every new generation of babies is the “luckiest crop,” and things are never as bad as they seem."
6,"Treasury Secretary Steven Mnuchin said President Donald Trump’s upcoming budget won’t touch entitlement programs such as Social Security or Medicare, and will instead focus on ways to produce long-term economic growth by slashing taxes."
13,Peak optimism is fast approaching.
13,"How value investing, mixed with a contrarian streak, helped Lions Gate beat the blockbuster model."
13,"Deutsche Bank AG cut its bonus pool for 2016 by almost 80 percent, Frankfurter Allgemeine Sonntagszeitung reported, a figure unmatched in the bank’s recent history as it tries to counteract the impact of low interest rates and legal expenses."
13,"The exact dollar value of Saudi Aramco may be up for debate, but the listing of the world’s biggest company will be priceless for the kingdom’s markets."
5,"Actor Bill Paxton, whose extensive career included films such as ""Twister,""  ""Aliens"" and ""Titanic,"" has died, a representative for his family said in a statement. He was 61."
5,"Actor Bill Paxton, whose extensive career included films such as ""The Terminator,"" ""Aliens"" and ""Titanic,"" has died at age 61, a representative for his family said in a statement."
16,A look back at notable people who have died in 2017.
6,New Democratic National Committee Chairman Tom Perez is joining calls for an independent investigation into reported contacts between President Donald Trump's campaign and Russians known to US intelligence.
6,New Jersey Gov. Chris Christie says Republican lawmakers should hold town halls even if that means confronting hundreds of angry progressive constituents.
15,Police are searching for the people who shot and killed 8-year-old De'Maree Adkins who was traveling with her mother in Houston.
6,"Bernie Sanders said on ""State of the Union"" Sunday that he doesn't believe his candidate for Democratic National Committee chairman, Minnesota Rep. Keith Ellison, was defeated Saturday because the election was rigged, but the system could use some retooling."
6,"The Democratic National Committee elected Tom Perez as its new chairman, voting for the former labor secretary over Minnesota Rep. Keith Ellison in a 235-200 vote."
10,"The modular G5 was a novel device, but novelty alone doesn’t sell phones. So LG went back to the drawing board for its followup, and the result is, on a.."
10,"A very happy Mobile World Congress to you and yours. The world’s largest smartphone show is still a couple of days from its official kick off, but.."
10,"If you're bored of the same old monotone/metallic smartphone color choices, Chinese mobile maker Huawei has been thinking a little differently for its just.."
10,"Bigger screens don’t cut it anymore. Now, we need taller screens. I’ve been playing with the LG G6 for the past 24 hours. In many ways, it is just another.."
10,The idea that giant batteries may someday revolutionize electrical grids has long enthralled clean-power advocates and environmentalists. Now it’s attracting bankers with the money to make it happen.
5,Actor Bill Paxton tells Larry King that being a filmmaker was always his dream
5,"While defending President Trump's decision to skip the White House Correspondence Dinner, Ben Stein said that the media is ""trying to do to Trump what they did to Nixon"" during the Watergate scandal."
5,Moonlight wins best picture at the Oscars - after Faye Dunaway initially says La La Land won.
5,The moment when La La Land producer realised Moonlight had won the Oscar for best picture
5,"Stars including Emma Stone, Viola Davis and Dev Patel walk the red carpet at the 89th Academy Awards."
5,All the winners at this year's Academy Awards.
5,"Winners of the 89th Academy Awards, including Viola Davis, Emma Stone, Mahershala Ali and Casey Affleck."
5,"La La Land is wrongly given the best picture Oscars, but it is not the first jaw-dropping award fail."
5,"Irene Clennell has been sent back to Singapore, leaving behind her husband and sons in Britain."
6,Sir Gerald had been an MP since 1970 and became the oldest serving member of the Commons in 2015.
15,The first public sessions will focus on British children sent to Australia between 1945 and 1974.
13,"Consumers are now more likely to seek out better deals, but the regulator warns many still lose out."
9,"Jose Mourinho and Zlatan Ibrahimovic's partnership hints at more success for Manchester United, writes Phil McNulty."
9,"Italy's tactics at Twickenham tested England - and Eddie Jones' patience - to the limit, writes Tom Fordyce."
9,"Follow live text commentary, images, social media and analysis from the first day of testing at Circuit de Catalunya."
9,Who is the next nearest thing to N'Golo Kante? Whose presence at Old Trafford is like that of Roy Keane? Find out in Garth's team of the week.
9,Anthony McGill wins the Shoot Out title in Watford in the first year that the one-frame format has been counted as a ranking event.
9,"More than 6,000 teams joined battle in the first stage of the FA People's Cup 2017 - here's our round-up of the weekend's action, and more..."
9,"An alternative look back at the third round of the Six Nations, as England don't know the rules, Eddie Jones is angry and Rhys Webb is impish."
9,"World number one Andy Murray says he is ""ready to go"" at the Dubai Tennis Championships after a bout of shingles."
6,"President Donald Trump is proposing major defense spending increases and big cuts to the Environmental Protection Agency, State Department and other federal agencies in a proposed budget to be presented soon to Congress, said a person familiar with the plan."
13,"Adrienne Heintz, an Atlanta marketing professional, has discovered a reliable way to earn higher wages, and Federal Reserve economists are taking note."
3,The rare public spat between China and North Korea illustrates the dilemma facing Beijing’s leaders as they try to coax Kim Jong Un back to the negotiating table.
5,"In an upset made all the more shocking by the way it was announced, “Moonlight” won the Oscar for best picture, a crowning achievement for African-American filmmakers after two years of controversy over institutional racism in Hollywood."
3,The pound fell against all its major peers after The Times reported that U.K. Prime Minister Theresa May’s team is preparing for Scotland to potentially call for an independence referendum in March.
13,Warren Buffett’s sweeping endorsement of index investing is sure to sting the hedge-fund industry and encourage the stampede into assets that passively track the market.
13,"As populism grips Europe, the U.S. and elsewhere, there are few targets as ripe for political assault as the institutions stuffed with unelected technocrats wielding the power to affect the economic fate of millions."
6,"The White House is working on plans for improving U.S. transportation and other key structures, but agreeing on how to pay for expensive new projects won’t be easy, Transportation Secretary Elaine Chao told the nation’s governors."
10,​Samsung Electronics Co. teased its coming Galaxy S8 smartphone and released new tablets targeting video-gamers and professionals as the company seeks to regain ground lost after pulling its Note 7 from shelves last year.
6,Former CIA Director John Brennan called for congressional committees looking into the possibility of Russian interference in the 2016 U.S. presidential election to “pursue this investigation with vigor and with the appropriate amount of bipartisan support.”
5,It's an Oscar moment that will go down in history.
5,"Faye Dunaway and Warren Beatty presented ""La La Land"" as the winner of the best picture award, and the celebration began on stage but was quickly ended when one of the ""La La Land"" winners pointed out that in fact ""Moonlight"" had won the award."
5,"academy awards review Jimmy Kimmel brings silliness to Oscars punctuated by politics, silliness and a shocking twist ending"
5,Oscar winners 2017 list
5,See photos from the red carpet at the 2017 Academy Awards.
5,"""The White Helmets,"" a documentary about volunteer rescue workers in Syria, took home the Oscar for Best Documentary Short Sunday. It was the first Academy Award win for Netflix, which distributed the film."
6,"Bill Owens, the father of the Navy SEAL killed in a late-January raid in Yemen, leveled biting criticism at the White House and called for an investigation into his son's death in a news story published Sunday."
6,Homeland Security Secretary John Kelly said immigration enforcement would be limited to criminals and the travel ban won't target Muslims.
6,"President Trump's nominee for secretary of the Navy, Philip Bilden, has withdrawn his name from consideration, Bilden and Secretary of Defense Jim Mattis said Sunday in statements."
9,"Latest football news including fallout from the EFL Cup final, plus gossip and the best of social media."
9,"Manchester United manager Jose Mourinho believes striker Zlatan Ibrahimovic will stay - but will not ""beg"" him to do so."
13,"Insurers say changes to the calculation of compensation payments for accident victims are ""crazy""."
15,A former child migrant breaks down while talking about British children abused overseas.
6,Donald Trump proposes a $54bn (£43bn) military spending increase - a rise of about 10% on 2016.
5,Barry Jenkins' Moonlight wins best picture at the Oscars after an error involving wrong envelopes.
3,We go behind the scenes at a National Front rally in Nantes.
3,"The former Tory prime minister also says the costs of leaving the EU will be ""unpalatable""."
5,"Neil Fingleton, who at 7ft 7in was Britain's tallest man, was a basketball player before he became an actor."
6,"Shadow Chancellor John McDonnell says plotters are using ""dark arts"" to destabilise Labour's leader."
15,Simon Cowell had been asleep in the house with his family when it was broken into.
9,"Text and radio coverage as Leicester, without the sacked Claudio Ranieri, take on Liverpool, who can go third with a win."
9,"It is ""too early to speculate"" on rule changes after Italy used controversial tactics against England, says the sport's governing body."
9,Mercedes and Ferrari enjoy impressive starts to pre-season testing as Red Bull and McLaren hit trouble.
9,Caretaker boss Craig Shakespeare is firmly in contention for the Leicester manager's job on a longer-term basis after Claudio Ranieri's sacking.
9,"Huddersfield boss David Wagner is given a two-match touchline ban and a £6,000 fine after his altercation with Leeds counterpart Garry Monk."
9,Ugo and Chris on Italy frustrating England with their innovative tactics at the ruck.
9,Britain's triple Olympic champion Andrew Triggs-Hodge announces his retirement from rowing.
9,Roger Federer wins his Dubai Tennis Championships opener against France's Benoit Paire in just 54 minutes.
9,"England Lions lose their second four-day match with Sri Lanka A, but Liam Livingstone matches a feat achieved by Kevin Pietersen."
9,"Former Hearts, Everton and Scotland forward Alex Young has died at the age of 80."
6,"President Donald Trump told major U.S. health insurers at a White House meeting Monday to expect “something special” to replace Obamacare, as the administration gets more involved in Republican efforts to repeal the health-care law."
13,"If some American banks are too big to fail, others have begun to feel they’re too small to succeed."
13,Tesla Inc. fell 5 percent after Goldman Sachs Group Inc. turned negative on the stock and cast doubt on Chairman Elon Musk’s ability to deliver the company’s new vehicle on time.
13,"Warren Buffett cast doubt on a controversial centerpiece of House Speaker Paul Ryan’s tax overhaul plan, saying the measure would lead to higher prices for consumers and likely be scaled back because it’s too politically contentious."
13,Rocket and satellite litter is endangering private space commerce. Enter the cosmic debris tracking industry.
13,"President Donald Trump breathed some life back into beaten-down stocks that have been seen as benefiting from higher spending on highways and bridges, promising to spend"
5,"The Oscars are over, but the legal battle to protect those stunning dresses is just starting."
10,"While Google shuttered its Titan drone project, Facebook Inc. is planning to ramp up test flights for its own experimental solar-powered glider."
3,"Seoul, South Korea (AP) -- North Korea executed five senior security officials with anti-aircraft guns because they made false reports that"
6,"President Donald Trump's first budget proposal will look to increase defense and security spending by $54 billion and cut roughly the same amount from non-defense programs, the White House said Monday."
14,"CNNgo is a revolutionary news-watching experience that offers the live CNN broadcast with unprecedented features. You can catch-up on the stories you‘ve missed, go deeper and learn more about the stories that interest you with related coverage, and enjoy the most popular On Demand Shows"
6,It's hard to overstate how much is on House Speaker Paul Ryan's plate right now. He presides over a restive group of Republicans who deposed his predecessor. He's dealing with a new president who -- even on his best days -- refuses to stick to the script and has no trouble throwing party orthodoxy out the window. Many of the top staffers he has to work with in the new administration have no idea how Congress works.
6,"If Hillary Clinton had won the presidency last year, Tom Perez, the freshly elected Democratic National Committee chair, might well be entering his second month running her Justice Department."
